YKL109W	1.64	0.81	0	0.25	0.01	-0.07	-0.22	-0.38	0.14	-0.09	-0.2	-0.18	0.03	-0.51	-0.15	-0.09	-0.17	-0.17	0.12	0.69
YMR311C	-0.15	-0.03	0.12	0.03	0.06	0.08	-0.22	0.08	-0.12	-0.34	0.04	-0.14	-0.22	-0.15	-0.17	0.18	-0.18	-0.32	0.04	0.34
YFL064C	-0.92	0.14	1.23	1.01	-0.14	0.15	-0.64	-0.25	-0.23	0.49	0.99	1.19	-0.09	-0.07	-0.29	0.03	-0.25	0.11	-0.03	0.63
YMR246W	-0.03	-0.89	-1.22	-1.6	-1.36	-1.12	-0.76	-0.74	-0.56	-0.29	-0.01	0.06	0.04	-0.23	-0.18	-0.62	-0.22	-0.3	1.02	0.71
YPL160W	-0.04	-0.56	0.03	-0.17	-0.07	-0.03	-0.04	-0.29	0.06	-0.04	-0.06	0.18	-0.1	0.15	-0.03	0.24	0.52	-0.09	-0.23	-0.07
YPL163C	-2.4	-2.12	0.69	2	1.58	0.81	0.16	-0.92	-1	-1.47	0	1.28	1.64	0.86	0.85	-0.06	-0.45	-0.94	-0.76	1.63
YBL002W	-2.47	-2.4	-2.06	-0.62	0.8	0.28	0.43	0.2	-0.74	-1.18	-1.51	-0.43	0.46	0.89	0.87	0.88	-0.25	-0.42	-0.12	-1.4
YBL003C	-2.12	-3.06	-1.6	-1.06	0.48	0.63	0.39	0.54	-0.92	-0.89	-1.69	-0.67	0.26	0.76	0.66	0.79	-0.45	-0.6	-1.32	-0.86
YMR185W	-0.64	-1.12	-0.62	-0.84	-0.25	-0.29	-0.07	-0.51	-0.04	-0.15	-0.43	-0.43	-0.17	-0.36	-0.12	-0.18	-0.42		-0.01	0.74
YOR074C	-1.43	-0.6	0.28	0.79	0.88	0.28	0.01	-1.03	-0.97	-0.4	-0.67	0.45	0.44	-0.2	-0.56	-0.51	-0.92	-1.09	-0.27	0.42
YNL066W	-1.89	-2.56	-2.25	-2.56	-1.43	-1.4	-1.06	-1.47	-1.4	-1.64	-0.94	-0.62	-0.29	-0.76	-0.43	-0.84	-0.74	-1.43		-0.04
